Green_ID,Sample_ID,Location,Species,Date_Collected,DOR_XRAY,DOR,ANA_XRAY,ANA,P1,VERT,RGR1,RGR2,SL,FL,LJL,UJL,UJW,HDL,P1L,DBASE,ABASE,P1-P2,P2-C,BD P1,BD P2,ORB,PREORB,GonadStage,Sex
73630,E21,Eden,melanochir,25/07/2019,16,16,18,18,12,57,NA,NA,261.3,NA,52.6,11.3,10.3,51.2,30,41.1,34.9,106,96.2,25,25.2,10.6,7.9,NA,NA
73631,E22,Eden,australis,25/07/2019,16,14,19,16,12,56,30,26,294.1,NA,41.9,13.3,12.4,57.6,36,43.9,38.7,113.3,102.8,27.3,28.3,12.7,9.1,NA,NA
73691,E23,Eden,melanochir,25/07/2019,15,14,18,17,12,59,26,24,244.8,NA,52.6,11.9,10.7,47,27.2,34.2,34.2,100.3,86.1,24.1,24.2,10.8,7.5,NA,NA
73692,E24,Eden,australis,25/07/2019,16,16,19,18,11,57,NA,NA,252.4,NA,55.7,12.9,10.8,49.6,29.2,37.6,41.3,103.1,92.6,24.5,24.5,9.7,8.1,NA,NA
73693,E25,Eden,melanochir,25/07/2019,16,16,18,18,12,59,NA,NA,231.4,NA,51.5,10.6,10.3,44.1,24.9,35.1,33.7,93.5,84.5,21.5,22.3,10.6,6.9,NA,NA
73697,E26,Eden,australis,25/07/2019,15,16,19,19,12,56,NA,NA,231.1,NA,52,11,11.2,49.3,29.3,34.3,33.8,90.6,85.3,24.2,23,11.2,7,NA,NA
73694,E27,Eden,melanochir,25/07/2019,17,17,19,15,12,57,NA,23,208.9,NA,NA,9.3,9.9,41.5,29.2,32.1,33.6,90.4,75.2,20.3,21.4,9.5,7.3,NA,NA
73696,E28,Eden,?,25/07/2019,,NA,,NA,NA,58,30,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73695,E29,Eden,melanochir,25/07/2019,17,17,20,19,12,58,NA,NA,223.9,NA,NA,11.9,10.7,46,29.2,31.9,37.4,86.7,78,20.9,21.4,10.6,6.7,NA,NA
76300,E30,Eden,melanochir,25/07/2019,,NA,,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76301,E31,Eden,australis,17/05/2018,17,16,18,18,12,56,30,25,275.8,291.5,33.8,16.4,11.2,56.7,32.9,44.1,36.4,106.7,99.1,27.3,26.1,11.2,8.5,2,Male
