Sample_ID,Location,Species,Date_Collected,ABASE,BD.P1,BD.P2,DBASE,HDL,LJL,ORB,P1.P2,P1L,P2.C,PREORB,UJL,UJW,DOR_XRAY,ANA_XRAY,P1,VERT,RGR1,RGR2,Location_Num
E21,Eden,melanochir,25/07/2019,-0.015032133,-0.059947289,-0.035307965,0.05619705,-0.007669778,0.001745937,-0.033899884,-0.004470823,-0.028784706,0.015026294,0.088361184,-0.056762433,-0.0946381,16,18,12,57,31.14285714,24.625,8
E22,Eden,australis,25/07/2019,-0.019256892,-0.081676465,-0.036514031,0.005734799,-0.005579773,-0.281695765,0.06100457,-0.057183241,0.068529611,-0.038236217,0.108670293,-0.026246973,-0.012064762,16,19,12,56,30,26,8
E23,Eden,melanochir,25/07/2019,0.024046949,-0.036078149,-0.011138091,-0.063396049,-0.029444895,0.03264209,0.032143944,0.006069104,-0.079874725,-0.029911526,0.103202172,0.06803099,0.000265574,15,18,12,59,26,24,8
E24,Eden,australis,25/07/2019,0.184869754,-0.047990041,-0.02912571,0.001295424,-0.005513967,0.07542443,-0.097471056,0.002754688,-0.030901516,0.011940972,0.148852285,0.114476174,-0.017057201,16,19,11,57,34.11111111,27.66666667,8
E25,Eden,melanochir,25/07/2019,0.060531882,-0.097994835,-0.037099122,0.017977133,-0.038056555,0.038172248,0.054317992,-0.007335935,-0.127755836,0.008275495,0.077471945,0.015398001,0.011189432,16,18,12,59,31.14285714,24.625,8
E26,Eden,australis,25/07/2019,0.064675053,0.021508793,-0.004905551,-0.003801995,0.074676982,0.048448645,0.110319537,-0.037534212,0.035896469,0.019010719,0.093189267,0.053892302,0.096089074,15,19,12,56,34.11111111,27.66666667,8
E27,Eden,melanochir,25/07/2019,0.15061951,-0.060496806,0.023109042,0.029295971,0.00125676,0,0.019014307,0.062157563,0.105080152,-0.004849424,0.238584025,-0.000869987,0.060661964,17,19,12,57,31.14285714,23,8
E29,Eden,melanochir,25/07/2019,0.194679173,-0.095721642,-0.045632684,-0.045194142,0.036360712,0,0.078236654,-0.049599341,0.055230713,-0.038437801,0.081800971,0.167985906,0.077982476,17,20,12,58,31.14285714,24.625,8
E31,Eden,australis,17/05/2018,-0.022082401,-0.022056281,-0.053754485,0.073501557,0.04152622,-0.466090601,-0.018046092,-0.052380499,0.024666534,-0.009905124,0.106255304,0.255226241,-0.057900325,17,18,12,56,30,25,8
E32,Eden,australis,17/05/2018,-0.014463931,-0.005019619,0.097819322,0.027544816,0.134558633,0,0.175353156,-0.006024543,-0.063896104,-0.065573367,0.14955962,0.125026444,0.076696927,16,18,10,57,37,29,8
E33,Eden,melanochir,17/05/2018,0.05616055,-0.005450753,0.022425765,0.046650528,-0.039683517,0,0.046313206,-0.087436649,0.018729823,-0.073655842,0.043372271,0.10550593,-0.132527251,17,19,12,58,32,25,8
E34,Eden,australis,17/05/2018,-0.00292907,-0.013868708,0.072793657,0.061129664,0.019641676,0.051921454,-0.070043669,0.008019582,-0.000292257,-0.018499532,0.109360055,0.201137228,-0.015150872,16,18,12,56,34,27,8
E35,Eden,australis,17/05/2018,0.04685842,-0.040942176,0.020527114,0.017844353,0.045467653,0,0.048050735,0.004381976,-0.004313645,-0.081316925,0.113757099,0.299870227,0.028426711,16,18,12,56,33,28,8
E36,Eden,australis,17/05/2018,-0.033995285,-0.068967264,-0.014606863,0.000953249,-0.023028123,0,-0.077009288,0.007120374,-0.037382752,-0.042766939,0.016965505,0.10677342,-0.116061662,15,19,12,56,33,27,8
E37,Eden,melanochir,17/05/2018,0.014339403,-0.009544748,0.025435278,0.038012194,-0.033907435,0,-0.044264201,-0.03528729,0.068217886,-0.023304163,-0.057870885,-0.11472101,0.123020107,17,19,10,59,32,26,8
E39,Eden,australis,17/05/2018,0.041611979,0.034137447,0.058388879,0.099668761,0.063749666,0.161377019,0.04605846,-0.026358639,0.046504087,-0.040747528,-0.046154752,0.230825319,0.067049026,16,18,12,55,35,29,8
E40,Eden,australis,17/05/2018,-0.083727978,-0.064994344,-0.042786636,-0.060534938,0.022460582,0.090589524,-0.17727876,-0.016985881,-0.130586737,-0.040143469,0.192882836,0.156250232,-0.116544546,15,17,12,57,38,29,8
E41,Eden,melanochir,26/07/2019,-0.024854739,-0.001561245,-0.020478874,-0.043187205,-0.010089705,0.075485906,0.031202865,0.022729587,-0.036107938,0.016709728,-0.068027363,-0.143456354,-0.053707332,17,18,12,59,32,26,8
E42,Eden,melanochir,26/07/2019,-0.013863763,-0.08264853,-0.086823932,-0.031564797,-0.053390131,0.091760489,-0.057830954,-0.009569635,-0.070890904,0.034068364,-0.047921622,-0.043215208,-0.139394517,16,19,11,58,34,26,8
E43,Eden,australis,26/07/2019,-0.025106338,-0.093968566,-0.10161824,-0.064110344,-0.010955542,0.076056941,-0.077009288,0.023181182,-0.013772887,0.017261991,0.002979263,0.001412904,-0.086208699,16,18,12,57,37,29,8
E44,Eden,melanochir,26/07/2019,0.014946226,-0.04038346,-0.010105195,-0.013501371,-0.062174587,0.06657394,-0.024370444,0.019672264,-0.094775663,0.025151949,0.010473043,-0.041822663,-0.116686251,16,19,12,59,32,25,8
E45,Eden,melanochir,26/07/2019,0.089714344,-0.058525567,-0.029828886,0.033072858,-0.098166301,0.115596556,-0.03278775,0.052134691,-0.082491643,0.022793632,-0.016837864,-0.157461554,-0.083642056,17,19,12,58,30,22,8
F21,Forster,australis,27/02/2020,0.020458712,0.057315096,0.104834633,0.024435556,0.036632843,0.149745278,-0.020467246,-0.046333287,0.021126338,0.0494338,-0.040011183,0.019919362,0.026497475,16,19,11,56,33,28,1
F22,Forster,australis,27/02/2020,0.055596499,-0.015314833,-0.00399287,0.024363749,0.059050948,0.023464418,0.033702895,0.016873009,-0.063264061,-0.033744188,0.015542226,0.068040244,0.028541114,16,19,12,56,33,30,1
F23,Forster,australis,27/02/2020,0.016289396,-0.008617655,0.005969612,-0.009606574,0.029100211,0.062000411,-0.040286408,-0.053569271,-0.001702134,0.068656061,0.025298964,0.09775266,-0.027772178,16,18,11,57,36,29,1
F24,Forster,australis,27/02/2020,-0.029883285,0.017390164,-0.044279604,-0.038640068,0.080713798,0.02235552,-0.00242567,0.03945693,-0.064886095,-0.021938053,0.080260762,0.127780236,0.081922432,16,18,11,56,36,30,1
F25,Forster,australis,27/02/2020,0.007090928,0.040565052,0.026187352,-0.062591731,0.051070077,0.002138744,0.104196243,0.013848592,-0.036114998,0.015215514,0.090616191,0.051996873,0.028628879,16,19,12,57,35,30,1
F26,Forster,australis,27/02/2020,0.012282107,-0.040236159,0.001182393,0.009876152,0.016301127,0,0.013451811,-0.000934426,-0.102180482,0.016608489,0.034209301,0.007406368,-0.037834273,16,18,12,56,33,32,1
F27,Forster,australis,27/02/2020,0.022019832,0.054756684,0.050064922,0.004705363,0.088465702,0.140990105,0.07737743,-0.029982766,0.067793394,-0.018333384,0.114100209,0.075318813,0.041818846,15,18,12,55,34,30,1
F28,Forster,australis,27/02/2020,0.018956489,-0.039449336,-0.001378551,-0.014922654,-0.03277431,-0.069702532,-0.129278243,0.045805976,-0.075386025,0.009953256,-0.016742243,-0.052736568,-0.032230541,16,18,11,57,36,29,1
F29,Forster,australis,27/02/2020,0.071706411,0.047771141,0.077005561,0.04127889,0.068366577,0.136937912,0.065879896,-0.013606762,0.044443188,-0.000877291,0.101419924,0.088251,0.019957795,16,18,12,56,34,30,1
F30,Forster,australis,27/02/2020,0.0450731,0.018596563,0.043978659,0.001998801,0.037137073,0,-0.033071511,-0.02257958,-0.069100922,0.046816929,-0.012992592,-0.034867445,-0.034791397,16,19,11,56,34,29,1
NB31,Nelson Bay,australis,15/08/2019,-0.017204989,-0.023869556,-0.030588516,-0.024106451,0.044470303,0.08244377,-0.042822774,0.019612828,0.030034641,-0.039769003,0.089145347,0.004199105,0.024889914,16,18,12,56,34,29,3
NB32,Nelson Bay,australis,15/08/2019,0.039313739,-0.074557797,-0.083944208,0.068392596,-0.001382571,0.05790368,0.032694139,-0.005478067,-0.05914909,0.003369632,0.062293334,-0.032452098,-0.026014955,16,18,11,56,36,30,3
NB33,Nelson Bay,australis,15/08/2019,-0.066608337,0.007459673,-0.001648957,-0.039613013,0.025361869,0.058292278,0.029277199,0.016143582,-0.051221687,-0.0447169,0.001548212,0.002371973,0.105484121,16,18,11,56,36,28,3
NB34,Nelson Bay,australis,15/08/2019,0.015040328,-0.000690393,0.00224844,-0.058030583,0.029376368,0.196332365,-0.070455074,0.026651661,-0.034311198,0.01037752,0.026211768,0.061535657,0.058854959,15,19,11,56,37,27,3
NB35,Nelson Bay,australis,15/08/2019,-0.018414732,-0.052387655,-0.083582066,-0.052893764,0.040370607,0.131880354,-0.04777652,-0.004044166,-0.057395601,-0.017905947,0.112272436,0.011729295,-0.031722531,16,18,11,56,37,30,3
